major1,major2,minor1,minor2,IPEDS.Race.Ethnicity,Gender,GPA.Range,Term.Code,survey_city,survey_company,survey_deptfunc,survey_offers,survey_plans,survey_pref_field,survey_pref_loc,survey_salary,survey_state
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,San Francisco,Ernst & Young (EY),"Analytics
 Finance",2,accepted fulltime job,Yes,Yes,80000.0,CA
Finance,none,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Chicago,Bain & Company,Consulting,1,accepted fulltime job,Yes,Yes,90000.0,IL
Finance,none,Accountancy,No Minor,White,Male,3.00 - 3.49,201920,Lisle,"Navistar, Inc",Finance,1,accepted fulltime job,Yes,Yes,66000.0,IL
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,New York City,EY,Unknown,2,accepted fulltime job,Yes,None,70000.0,NY
Marketing,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Columbus,Nations Lending Corporation,Marketing / Sales,2,accepted fulltime job,Yes,Yes,40000.0,OH
Accountancy,none,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Cincinnati,Terillium,Accounting Consulting Logistics / Supply Chain Information Technology,2,accepted fulltime job,Yes,Yes,68000.0,OH
Finance,none,Mangement and Leadership,Mangement and Leadership,White,Female,3.00 - 3.49,202020,Cleveland,KeyBank,Unknown,None,accepted fulltime job,None,None,60000.0,OH
Finance,none,Business Analytics,Business Analytics,White,Male,3.00 - 3.49,202120,Camas,Fisher Investments,Finance,2,accepted fulltime job,Yes,No,50000.0,WA
Supply Chain & Operations Mgmt,none,Arts Related,Arts Related,Hispanic/Latino,Female,3.00 - 3.49,201920,Cincinnati,Terillium,Consulting,3,accepted fulltime job,Yes,Yes,55000.0,OH
Finance,none,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Toledo,Welltower Inc.,Finance,1,accepted fulltime job,Yes,No,63500.0,OH
Accountancy,Finance,No Minor,No Minor,White,Male,3.50 - 4.00,202020,Chicago,Crowe LLP,Accounting,1,accepted fulltime job,Yes,Yes,63000.0,IL
Marketing,none,Interactive Media Studies,Interactive Media Studies,White,Male,3.50 - 4.00,202120,Cleveland,Group Management Services,Marketing / Sales,1,accepted fulltime job,No,Yes,50000.0,OH
Information Systems,Marketing,Engineering/Science,Engineering/Science,White,Male,3.50 - 4.00,202020,Cincinnati,Fifth Third Bank,Information Technology,3,accepted fulltime job,Yes,Yes,65000.0,OH
Marketing,none,Humanities,No Minor,Multi Racial,Female,2.50 - 2.99,202120,Columbus,Codwell Bankers,Marketing / Sales,2,accepted fulltime job,Yes,Yes,50000.0,OH
Human Capital Mgmt& Leadership,Marketing,No Minor,No Minor,White,Female,3.00 - 3.49,202120,Cincinnati,Target,General Management,1,accepted fulltime job,Yes,Yes,53000.0,OH
Accountancy,none,No Minor,No Minor,White,Female,3.50 - 4.00,202020,Cincinnati,Clark Schaefer Hackett,Accounting,1,accepted fulltime job,Yes,Yes,53000.0,OH
Accountancy,none,Language,Language,Hispanic/Latino,Female,3.50 - 4.00,201920,Chicago,Ernst and Young,"Accounting
 IT Assurance / IT Audit",1,accepted fulltime job,Yes,Yes,63000.0,IL
Marketing,none,Sport Management,No Minor,White,Male,3.00 - 3.49,202120,Chicago,E&J Gallo Winery,Unknown,None,accepted fulltime job,Yes,Yes,58120.19679571174,IL
Finance,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Chicago,Northern Trust,Unknown,1,accepted fulltime job,Yes,None,45000.0,IL
Human Capital Mgmt& Leadership,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,San Francisco,Instacart,Unknown,0,accepted fulltime job,None,None,58120.19679571174,CA
Supply Chain & Operations Mgmt,none,No Minor,No Minor,Asian,Female,3.00 - 3.49,202020,Cincinnati,ArcBest,Logistics / Supply Chain,2,accepted fulltime job,Yes,Yes,65000.0,OH
Business Analytics,none,Language,Language,Hispanic/Latino,Female,3.00 - 3.49,202120,Cincinnati,Protiviti,Analytics Consulting,1,accepted fulltime job,Yes,Yes,56000.0,OH
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Chicago,Fifth Third Bank,Finance,1,accepted fulltime job,Yes,Yes,63000.0,IL
Accountancy,Finance,No Minor,No Minor,White,Male,3.50 - 4.00,202020,Cleveland,EY,Accounting,1,accepted fulltime job,Yes,Yes,52000.0,OH
Information Systems,none,No Minor,No Minor,White,Female,3.50 - 4.00,202020,Charlotte,Allstate,Analytics IT Assurance / IT Audit,2,accepted fulltime job,Yes,Yes,75000.0,NC
Finance,none,Language,No Minor,White,Female,3.50 - 4.00,202020,Chicago,Fitch Ratings,Finance,1,accepted fulltime job,Yes,Yes,65000.0,IL
Accountancy,none,Language,Language,White,Female,3.50 - 4.00,202020,Columbus,GBQ Partners,Accounting,1,accepted fulltime job,Yes,Yes,52000.0,IN
Finance,none,Language,Language,White,Male,3.50 - 4.00,201920,Troy,Textron,Finance,1,accepted fulltime job,No,No,59000.0,MI
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Chicago,Crowe LLP,Unknown,None,accepted fulltime job,None,None,58120.19679571174,IL
Accountancy,none,Information Systems,No Minor,White,Male,3.50 - 4.00,201920,Cleveland,KPMG,Accounting,2,accepted fulltime job,Yes,Yes,54000.0,OH
Finance,none,Language,Language,White,Male,3.50 - 4.00,201920,Wichita,Textron,"Accounting
 Finance",1,accepted fulltime job,Yes,No,59000.0,KS
Supply Chain & Operations Mgmt,none,No Minor,No Minor,Multi Racial,Male,3.00 - 3.49,201920,Cincinnati,Terillium,Logistics/Supply Chain,3,accepted fulltime job,Yes,Yes,58000.0,OH
Finance,none,No Minor,No Minor,White,Male,3.50 - 4.00,202020,Chicago,CIBC US,Finance,3,accepted fulltime job,Yes,Yes,60000.0,IL
Finance,none,Information Systems,Information Systems,White,Male,3.00 - 3.49,202120,Cincinnati,Fifth Third Bank,Information Technology,3,accepted fulltime job,Yes,No,70000.0,OH
Finance,none,Business Analytics,No Minor,White,Male,3.50 - 4.00,202020,McLean,Capital One,Analytics Finance,4,accepted fulltime job,Yes,Yes,77000.0,VA
Marketing,none,No Minor,No Minor,White,Female,3.00 - 3.49,202020,Seattle,Amazon,Analytics Marketing / Sales,1,accepted fulltime job,Yes,No,63000.0,WA
Accountancy,none,Information Security,Information Security,White,Female,3.50 - 4.00,202120,Chicago,Deloitte,Accounting,2,accepted fulltime job,Yes,Yes,62000.0,IL
Accountancy,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,South Euclid,The Mayfield Sand Ridge Club,General Management,1,accepted fulltime job,No,No,17000.0,OH
Finance,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Deerfield,Ayco,Finance,1,accepted fulltime job,Yes,Yes,55000.0,IL
Marketing,none,Interactive Media Studies,Interactive Media Studies,White,Female,3.00 - 3.49,201910,San Francisco,News America Marketing,Marketing/Sales,2,accepted fulltime job,Yes,Yes,50000.0,CA
Marketing,none,Entrepreneurship,Entrepreneurship,White,Female,3.00 - 3.49,201920,Chicago,Coyote Logistics,Marketing/Sales,2,accepted fulltime job,Yes,Yes,40000.0,IL
Finance,Supply Chain & Operations Mgmt,No Minor,No Minor,White,Male,3.50 - 4.00,202020,Cleveland,Amazon,Operations / Procurement,0,accepted fulltime job,Yes,Yes,50000.0,OH
Accountancy,none,No Minor,No Minor,Non-Resident Alien,Female,3.50 - 4.00,202120,Cincinnati,Deloitte,Accounting,1,accepted fulltime job,Yes,Yes,56000.0,OH
Finance,none,No Minor,No Minor,White,Male,2.50 - 2.99,202020,Indianapolis,Valeo Financial Advisors,Unknown,None,accepted fulltime job,None,None,58120.19679571174,IN
Finance,none,No Minor,No Minor,White,Male,2.50 - 2.99,201920,Chicago,DepPaul,Unknown,2,accepted fulltime job,Yes,None,60000.0,IL
Marketing,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Columbus,JP Morgan Chase,Analytics Finance General Management Marketing / Sales,1,accepted fulltime job,Yes,Yes,65000.0,OH
Accountancy,none,Business Analytics,No Minor,White,Male,3.00 - 3.49,202120,Mason,Cintas,Accounting,1,accepted fulltime job,Yes,Yes,54000.0,OH
Finance,none,Humanities,Humanities,Hispanic/Latino,Male,2.50 - 2.99,202130,Chicago,CDW,Unknown,None,accepted fulltime job,None,None,47000.0,IL
Marketing,none,No Minor,No Minor,White,Female,3.00 - 3.49,202120,Chicago,CDW,Unknown,None,accepted fulltime job,None,None,50000.0,IL
Marketing,Supply Chain & Operations Mgmt,No Minor,No Minor,White,Male,3.50 - 4.00,202020,Indianapolis,Eli Lilly and Company,Marketing / Sales,1,accepted fulltime job,Yes,No,62000.0,IN
Accountancy,none,No Minor,No Minor,White,Male,3.50 - 4.00,201920,Cincinnati,BDO USA LLP,Accounting,1,accepted fulltime job,Yes,Yes,55000.0,OH
Business Analytics,Marketing,No Minor,No Minor,White,Female,3.50 - 4.00,202120,Chicago,Collaborative Solutions,Analytics Consulting Human Resources,1,accepted fulltime job,Yes,Yes,65000.0,IL
Accountancy,none,Mangement and Leadership,No Minor,White,Female,3.00 - 3.49,201920,Cincinnati,EY,Accounting,1,accepted fulltime job,Yes,Yes,55000.0,OH
Entrepreneurship,Information Systems,No Minor,No Minor,White,Female,3.50 - 4.00,202120,Chicago,West Monroe Partners,Consulting,1,accepted fulltime job,Yes,Yes,70000.0,IL
Finance,none,Language,No Minor,White,Female,3.50 - 4.00,202120,St. Louis,Edward Jones,Other: Compliance,1,accepted fulltime job,Yes,Yes,53000.0,MO
Marketing,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Columbus,"Greif, Inc.",Analytics Marketing / Sales Operations / Procurement,1,accepted fulltime job,Yes,Yes,50000.0,OH
Business Economics,none,Math/Stat,Math/Stat,White,Female,3.50 - 4.00,202120,Chicago,The Hackett Group,Consulting,2,accepted fulltime job,Yes,Yes,73000.0,IL
Marketing,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Dayton,Reynolds and Reynolds,Marketing / Sales,2,accepted fulltime job,Yes,Yes,38000.0,OH
Finance,none,Humanities,No Minor,White,Male,2.50 - 2.99,202120,Unknown,Fidelity,Unknown,1,accepted fulltime job,Yes,Yes,45000.0,MA
Human Capital Mgmt& Leadership,none,No Minor,No Minor,White,Female,3.00 - 3.49,202120,Chicago,PNC Bank,Consulting Finance Marketing / Sales,2,accepted fulltime job,Yes,Yes,60000.0,IL
Finance,none,No Minor,No Minor,White,Female,3.00 - 3.49,202020,Chicago,CIBC,Unknown,None,accepted fulltime job,None,None,60000.0,IL
Marketing,none,Supply Chain Management,Supply Chain Management,White,Male,3.00 - 3.49,201920,Chicago,Arrive Logistics,Logistics / Supply Chain,6,accepted fulltime job,Yes,Yes,40000.0,IL
Finance,none,Business Analytics,No Minor,White,Female,3.00 - 3.49,202120,Naperville,KeHE Distributors,Accounting Finance,1,accepted fulltime job,Yes,Yes,55000.0,IL
Accountancy,Business Economics,Political Science,Political Science,White,Female,3.50 - 4.00,201920,Atlanta,EY,"Accounting
 Consulting",1,accepted fulltime job,Yes,Yes,65000.0,GA
Marketing,none,Entrepreneurship,Entrepreneurship,White,Female,3.50 - 4.00,202120,Cincinnati,Deloitte,Unknown,None,accepted fulltime job,None,None,58120.19679571174,OH
Supply Chain & Operations Mgmt,none,Humanities,Humanities,White,Female,3.50 - 4.00,202020,Chicago,Impetus Consulting Group,Analytics Consulting,1,accepted fulltime job,Yes,Yes,68000.0,IL
Marketing,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,New York CIty,Ross Stores Inc,Retail,1,accepted fulltime job,No,Yes,61000.0,NY
Finance,none,Supply Chain Management,No Minor,White,Female,3.00 - 3.49,202020,Cleveland,KeyBank,Finance,1,accepted fulltime job,No,Yes,60000.0,OH
Finance,none,Language,Language,White,Female,3.00 - 3.49,202120,Cleveland,Brown Gibbons Lang & Company,Unknown,3,accepted fulltime job,Yes,Yes,75000.0,OH
Marketing,none,Business Analytics,Sport Management,White,Male,3.00 - 3.49,202120,Dallas,Ferguson Enterprises,Marketing / Sales,1,accepted fulltime job,No,Yes,41000.0,TX
Information Systems,none,Business Analytics,Engineering/Science,White,Male,3.00 - 3.49,202020,Cleveland,Insight2Profit,Analytics Consulting,1,accepted fulltime job,Yes,Yes,58000.0,OH
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Male,3.50 - 4.00,202020,Phoenix,Textron Aviation,Operations / Procurement,1,accepted fulltime job,Yes,Yes,53000.0,AZ
Marketing,none,No Minor,No Minor,Multi Racial,Female,3.00 - 3.49,202120,Louisville,Unknown,Unknown,None,accepted fulltime job,Yes,Yes,35600.0,KY
Marketing,none,Mangement and Leadership,No Minor,White,Female,3.50 - 4.00,201920,Chicago,NetSuite,Marketing / Sales,4,accepted fulltime job,Yes,Yes,50000.0,IL
Accountancy,none,Sport Management,Sport Management,White,Male,3.50 - 4.00,202120,TBD,Textron,Accounting Finance,1,accepted fulltime job,Yes,Yes,69000.0,TBD
Finance,none,Accountancy,No Minor,White,Male,3.00 - 3.49,201920,Columbus,KPMG,Unknown,2,accepted fulltime job,Yes,None,54000.0,OH
Supply Chain & Operations Mgmt,none,No Minor,No Minor,Multi Racial,Male,3.00 - 3.49,201920,Cincinnati,Total Quality Logistics,Logistics / Supply Chain,2,accepted fulltime job,Yes,Yes,35000.0,OH
Finance,none,No Minor,No Minor,White,Female,3.00 - 3.49,201920,Chicago,Bswift,Finance,1,accepted fulltime job,Yes,Yes,50000.0,IL
Finance,Marketing,Language,Language,White,Female,3.50 - 4.00,202020,Chicago,The Hackett Group,Consulting,3,accepted fulltime job,Yes,Yes,73000.0,IL
Marketing,none,No Minor,No Minor,White,Female,3.00 - 3.49,201920,Cincinnati,Cengage Learning,Marketing / Sales,5,accepted fulltime job,Yes,Yes,50000.0,OH
Accountancy,none,No Minor,No Minor,White,Female,3.00 - 3.49,202020,Chicago,Northern Trust Corporation,Unknown,0,accepted fulltime job,None,None,58120.19679571174,IL
Accountancy,none,No Minor,No Minor,White,Female,3.50 - 4.00,202120,Chicago,Deloitte,Accounting,1,accepted fulltime job,Yes,Yes,60000.0,IL
Management and Leadership,none,Business Legal Studies,Business Legal Studies,White,Female,3.50 - 4.00,201920,Unknown,Textron,Human Resources,1,accepted fulltime job,Yes,Yes,55000.0,GA
Accountancy,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Chicago,EY,Accounting,3,accepted fulltime job,Yes,Yes,62000.0,IL
Human Capital Mgmt& Leadership,none,Humanities,Humanities,White,Female,3.00 - 3.49,201920,Columbus,Stanley Steamer,Unknown,1,accepted fulltime job,None,None,58120.19679571174,OH
Supply Chain & Operations Mgmt,none,Information Systems,Information Systems,Hispanic/Latino,Male,3.00 - 3.49,202020,Cincinnati,Terillium,Consulting Logistics / Supply Chain Other: Information Systems,2,accepted fulltime job,Yes,No,55000.0,OH
Marketing,none,No Minor,No Minor,White,Male,2.50 - 2.99,201920,Chicago,GrubHub,Unknown,None,accepted fulltime job,None,None,58120.19679571174,IL
Human Capital Mgmt& Leadership,none,No Minor,No Minor,White,Female,3.00 - 3.49,202120,Detroit,General Motors,Human Resources,2,accepted fulltime job,Yes,No,75000.0,MI
Marketing,none,Information Systems,Information Systems,White,Female,3.50 - 4.00,202020,Findlay (Tentative),Marathon Petroleum Corporation,Marketing / Sales,1,accepted fulltime job,Yes,Yes,60000.0,OH
Accountancy,none,Sport Management,Sport Management,White,Male,3.50 - 4.00,202120,Walnut Creek,KPMG,Accounting,1,accepted fulltime job,Yes,Yes,73000.0,CA
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Male,2.00 - 2.49,201920,Chicago,Transportation One,Logistics / Supply Chain,2,accepted fulltime job,Yes,Yes,35000.0,IL
Accountancy,none,Supply Chain Management,No Minor,White,Male,3.00 - 3.49,202020,Cincinnati,EY,Accounting,1,accepted fulltime job,Yes,Yes,52000.0,OH
Marketing,Supply Chain & Operations Mgmt,No Minor,No Minor,White,Male,3.50 - 4.00,201920,Columbus,DHL Supply Chain,Logistics / Supply Chain,1,accepted fulltime job,Yes,Yes,52500.0,OH
Finance,none,No Minor,No Minor,White,Male,2.50 - 2.99,201930,Cincinnati,Ferguson Enterprises,Marketing / Sales,3,accepted fulltime job,Yes,Yes,45000.0,OH
Finance,none,Humanities,No Minor,White,Male,3.00 - 3.49,202120,TBD,Sherwin-Williams,Finance,1,accepted fulltime job,Yes,Yes,53000.0,TBD
Accountancy,none,No Minor,No Minor,White,Male,3.50 - 4.00,202020,Columbus,KPMG,Accounting,3,accepted fulltime job,Yes,Yes,54000.0,OH
Finance,none,No Minor,No Minor,White,Male,3.50 - 4.00,202020,Charlotte,Fifth Third Bank,Finance,2,accepted fulltime job,Yes,Yes,65000.0,NC
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Chicago,Northern Trust Corporation,Unknown,None,accepted fulltime job,None,None,58120.19679571174,IL
Accountancy,none,Information Systems,No Minor,Multi Racial,Male,3.50 - 4.00,201920,Columbus,PwC,Accounting,1,accepted fulltime job,Yes,Yes,57000.0,OH
Finance,none,Information Systems,No Minor,White,Male,3.00 - 3.49,202020,Chicago,West Monroe Partners,Consulting,2,accepted fulltime job,Yes,Yes,72000.0,IL
Accountancy,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,TBD,Federal Bureau of Investigation,Other: Law Enforcement,1,accepted fulltime job,Yes,Yes,40000.0,TBD
Marketing,none,Interactive Media Studies,Supply Chain Management,White,Female,3.00 - 3.49,202020,Chicago,Dental Technologies,Unknown,None,accepted fulltime job,None,None,58120.19679571174,IL
Business Economics,none,Sport Management,Sport Management,White,Male,3.50 - 4.00,202020,Cleveland,Sterling Associates Group,Unknown,None,accepted fulltime job,None,None,58120.19679571174,OH
Marketing,none,Interactive Media Studies,No Minor,White,Female,3.50 - 4.00,202020,Chicago,Coyote Logistics,Marketing / Sales,2,accepted fulltime job,Yes,Yes,45000.0,IL
Finance,none,No Minor,No Minor,Multi Racial,Male,3.00 - 3.49,201920,Chicago,Prudential Capital Group,Finance,1,accepted fulltime job,Yes,Yes,70000.0,IL
Marketing,none,Language,Language,Multi Racial,Female,3.50 - 4.00,202120,Bentonville,Abbott,Marketing / Sales,1,accepted fulltime job,Yes,No,58000.0,AR
Supply Chain & Operations Mgmt,none,Information Systems,No Minor,White,Male,3.00 - 3.49,202120,Cincinnati,Terillium,Consulting,1,accepted fulltime job,Yes,No,50000.0,OH
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Cleveland,American International Group (AIG),Finance,1,accepted fulltime job,Yes,Yes,62000.0,OH
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Atlanta,Alvarez & Marsal,Consulting,1,accepted fulltime job,Yes,Yes,75000.0,GA
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Columbus,E&J Gallo,Logistics/Supply Chain,5,accepted fulltime job,Yes,Yes,56700.0,OH
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Howell,PepsiCo Frito-Lay,Logistics / Supply Chain Operations / Procurement,1,accepted fulltime job,Yes,No,67000.0,MI
Marketing,none,Mangement and Leadership,No Minor,White,Male,3.00 - 3.49,201920,Chicago,Blue Chip MKT,Marketing/Sales,2,accepted fulltime job,Yes,Yes,24960.0,IL
Information Systems,none,No Minor,No Minor,White,Male,2.50 - 2.99,202020,Greenfield,Emerson Commercial & Residential Solutions,Unknown,None,accepted fulltime job,None,None,58120.19679571174,IN
Finance,none,Humanities,No Minor,White,Male,3.00 - 3.49,202120,Wichita,Textron,Accounting Finance,1,accepted fulltime job,Yes,No,65000.0,KS
Finance,none,Accountancy,No Minor,White,Male,3.50 - 4.00,202020,Cincinnati,FIS (formerly Worldpay),Finance,1,accepted fulltime job,Yes,Yes,55000.0,OH
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Female,3.50 - 4.00,202120,Fort Lee,Tranzact,Marketing / Sales,2,accepted fulltime job,Yes,Yes,50000.0,NJ
Information Systems,none,No Minor,No Minor,White,Male,2.00 - 2.49,202020,Raleigh,DHL,Analytics Logistics / Supply Chain,1,accepted fulltime job,Yes,Yes,60000.0,NC
Marketing,none,No Minor,No Minor,White,Female,3.00 - 3.49,202020,Chicago,Capgemini Invent,Analytics Consulting,3,accepted fulltime job,Yes,Yes,75000.0,IL
Finance,Business Analytics,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Columbus,KPMG,Unknown,1,accepted fulltime job,Yes,Yes,63000.0,OH
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Chicago,Altus Group,Unknown,3,accepted fulltime job,No,None,55000.0,IL
Marketing,none,Supply Chain Management,No Minor,White,Male,3.00 - 3.49,202020,Pittsburgh,Northwestern Mutual,Unknown,0,accepted fulltime job,None,None,58120.19679571174,PA
Finance,none,Humanities,No Minor,White,Female,3.00 - 3.49,202120,Cincinnati,Western and Southern Life,Finance Marketing / Sales,1,accepted fulltime job,Yes,Yes,30000.0,OH
Marketing,none,Supply Chain Management,Supply Chain Management,White,Male,3.00 - 3.49,202120,Chicago,Pinterest,Unknown,1,accepted fulltime job,Yes,Yes,63000.0,IL
Accountancy,none,Information Systems,No Minor,White,Male,3.00 - 3.49,202020,Woodbridge,BDO,Accounting,1,accepted fulltime job,Yes,Yes,63000.0,NJ
Marketing,none,Arts Related,No Minor,Hispanic/Latino,Female,3.50 - 4.00,202020,Columbus,Alliance Data,Marketing / Sales,2,accepted fulltime job,Yes,Yes,55000.0,OH
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Chicago,Coyote Logistics,Analytics Finance Logistics / Supply Chain Marketing / Sales,3,accepted fulltime job,Yes,Yes,45000.0,IL
Finance,none,Accountancy,No Minor,White,Female,3.00 - 3.49,202020,Blacklick,Abercrombie & Fitch,Finance,1,accepted fulltime job,Yes,Yes,63000.0,OH
Management and Leadership,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Stow,"Northcoast Orthopedic Sales, LLC",General Management Human Resources Marketing / Sales Operations / Procurement,1,accepted fulltime job,Yes,Yes,55000.0,OH
Finance,none,Accountancy,No Minor,White,Male,3.00 - 3.49,202120,Chicago,McAdams Financial,Finance,2,accepted fulltime job,Yes,Yes,60000.0,IL
Business Economics,none,No Minor,No Minor,White,Female,3.50 - 4.00,202120,Cleveland,Deloitte Consulting,Consulting,1,accepted fulltime job,Yes,Yes,80000.0,OH
Finance,none,Business Analytics,No Minor,White,Male,3.50 - 4.00,202120,Cincinnati,FIS,Finance,1,accepted fulltime job,Yes,Yes,55000.0,OH
Marketing,Supply Chain & Operations Mgmt,No Minor,No Minor,White,Male,3.50 - 4.00,201920,Chicago,Nielsen,Analytics,None,accepted fulltime job,None,None,58000.0,IL
Accountancy,Finance,No Minor,No Minor,White,Male,3.50 - 4.00,201920,Chicago,Wintrust,Finance,None,accepted fulltime job,None,None,58000.0,IL
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Chicago,Peloton Group,"Accounting
 Analytics
 Consulting
 Finance
 Information Technology",2,accepted fulltime job,No,Yes,62500.0,IL
Accountancy,Finance,No Minor,No Minor,Hispanic/Latino,Male,3.00 - 3.49,201920,Chicago,PwC,"Accounting
 Consulting
 Finance",1,accepted fulltime job,Yes,Yes,61000.0,IL
Marketing,none,Supply Chain Management,Supply Chain Management,White,Male,3.50 - 4.00,201920,Cincinnati,News America Marketing,Marketing / Sales,2,accepted fulltime job,Yes,Yes,50000.0,OH
Finance,none,No Minor,No Minor,White,Female,2.50 - 2.99,202110,Cleveland,KeyBanc Capital Markets,Finance,1,accepted fulltime job,Yes,No,75000.0,OH
Finance,none,Mangement and Leadership,No Minor,White,Female,3.50 - 4.00,202020,St. Paul,Travelers,Other: Underwriter,1,accepted fulltime job,Yes,Yes,63000.0,MN
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Detroit,Quicken Loans,"Finance
 Marketing / Sales",2,accepted fulltime job,No,Yes,60000.0,MI
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Charlotte,Granzow Consulting Group,"Analytics
 Consulting
 Finance",1,accepted fulltime job,Yes,Yes,50000.0,NC
Finance,none,No Minor,No Minor,White,Male,2.50 - 2.99,202120,Chicago,MoLo Solutions,Unknown,None,accepted fulltime job,No,Yes,44000.0,IL
Accountancy,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Cleveland,Deloitte,Accounting,1,accepted fulltime job,Yes,Yes,51000.0,OH
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Houston,IDK Yet,Other: IDK,1,accepted fulltime job,No,Yes,58120.19679571174,TX
Marketing,none,No Minor,No Minor,White,Female,3.00 - 3.49,202020,Pittsburgh,DICK'S Sporting Goods,Unknown,0,accepted fulltime job,None,None,58120.19679571174,PA
Human Capital Mgmt& Leadership,none,No Minor,No Minor,White,Female,3.00 - 3.49,202120,Washington,Fannie Mae,General Management,1,accepted fulltime job,Yes,Yes,60000.0,DC
Marketing,none,Interactive Media Studies,No Minor,White,Male,3.50 - 4.00,201920,Wichita,Textron Aviation,Marketing/Sales,1,accepted fulltime job,Yes,No,52000.0,KS
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Nashville,Alto IRA,Unknown,3,accepted fulltime job,Yes,Yes,45000.0,TN
Accountancy,none,Information Systems,No Minor,White,Male,3.00 - 3.49,202120,Columbus,Plante Moran,Accounting,1,accepted fulltime job,Yes,Yes,55000.0,OH
Marketing,none,Entrepreneurship,No Minor,White,Male,2.50 - 2.99,201920,Unknown,Tend,Marketing/Sales,7,accepted fulltime job,Yes,Yes,38000.0,CA
Marketing,none,No Minor,No Minor,White,Female,3.00 - 3.49,202020,Cleveland,SocialCode,Marketing / Sales,1,accepted fulltime job,Yes,Yes,40000.0,OH
Business Economics,none,Business Analytics,No Minor,White,Male,3.00 - 3.49,201920,Maineville,Medpace,Unknown,0,accepted fulltime job,None,None,58120.19679571174,OH
Marketing,none,Entrepreneurship,Entrepreneurship,White,Male,3.50 - 4.00,202020,Columbus,Abbott Nutrition,Marketing / Sales,1,accepted fulltime job,Yes,Yes,56000.0,OH
Marketing,none,Business Analytics,Business Analytics,White,Male,3.50 - 4.00,201920,Chicago,84.51,Analytics,2,accepted fulltime job,Yes,Yes,80000.0,IL
Management and Leadership,none,No Minor,No Minor,White,Female,3.00 - 3.49,201920,Providence,Textron,Human Resources,1,accepted fulltime job,Yes,Yes,54000.0,RI
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Columbus,Frito Lay,Logistics/Supply Chain,1,accepted fulltime job,Yes,Yes,62000.0,OH
Accountancy,none,Language,Language,White,Female,3.50 - 4.00,201920,Chicago,Plante Moran,Accounting,3,accepted fulltime job,Yes,Yes,63000.0,IL
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Chicago,Capco,"Consulting
 Finance",0,accepted fulltime job,Yes,No,70000.0,IL
Business Economics,none,Entrepreneurship,No Minor,White,Female,3.00 - 3.49,201920,Madison,Epic Systems,Other,2,accepted fulltime job,Yes,Yes,50000.0,WI
Supply Chain & Operations Mgmt,none,Marketing,Marketing,White,Female,3.50 - 4.00,202120,Chicago,BearingPoint,Consulting,2,accepted fulltime job,Yes,Yes,70000.0,IL
Finance,none,International Business,Language,White,Female,3.00 - 3.49,201920,Akron,Goodyear Tire & Rubber Co.,Unknown,2,accepted fulltime job,Yes,None,62000.0,OH
